DEPARTAMENTO;MUNICIPIO;POBLADO
ALTA VERAPAZ;Cahabon;Cahabon
ALTA VERAPAZ;Cahabon;La Union
ALTA VERAPAZ;Cahabon;Santa Maria Cahabon
ALTA VERAPAZ;Cahabon;Saquija
ALTA VERAPAZ;Cahabon;Sequixquib
ALTA VERAPAZ;Cahabon;Sexoy
ALTA VERAPAZ;Chahal;Chahal
ALTA VERAPAZ;Chahal;San Agustin El Chahal
ALTA VERAPAZ;Chisec;Ald. Nacimiento
ALTA VERAPAZ;Chisec;Aldea Candelaria
ALTA VERAPAZ;Chisec;Aldea Carolina
ALTA VERAPAZ;Chisec;Aldea El Limon
ALTA VERAPAZ;Chisec;Aldea Las Promesas
ALTA VERAPAZ;Chisec;Aldea Limon Imperial
ALTA VERAPAZ;Chisec;Aldea Limon Norte
ALTA VERAPAZ;Chisec;Aldea Limon Sur
ALTA VERAPAZ;Chisec;Aldea Paraiso
ALTA VERAPAZ;Chisec;Aldea San Benito
ALTA VERAPAZ;Chisec;Aldea San Jose Icbolay
ALTA VERAPAZ;Chisec;Aldea San Luis Lachua
ALTA VERAPAZ;Chisec;Aldea Tierra Linda
ALTA VERAPAZ;Chisec;Aldea Verapaz
ALTA VERAPAZ;Chisec;Batbazul
ALTA VERAPAZ;Chisec;Canahan
ALTA VERAPAZ;Chisec;Canlech
ALTA VERAPAZ;Chisec;Caserio Tuberia
ALTA VERAPAZ;Chisec;Chajmacan Ruta A Chisec
ALTA VERAPAZ;Chisec;Chichut Chisec
ALTA VERAPAZ;Chisec;Chiquibul
ALTA VERAPAZ;Chisec;Chisec
ALTA VERAPAZ;Chisec;Chitocan
ALTA VERAPAZ;Chisec;Cruce De San Antonio
ALTA VERAPAZ;Chisec;El Paraiso Ruta A Playa Grande
ALTA VERAPAZ;Chisec;El Sauce Chisec Ruta A Tierra Blanca
ALTA VERAPAZ;Chisec;La Caoba
ALTA VERAPAZ;Chisec;Monte Cristo Chisec Ruta A Tierra Blanca
ALTA VERAPAZ;Chisec;Playitas
ALTA VERAPAZ;Chisec;Raxquiche
ALTA VERAPAZ;Chisec;Rubelsanto
ALTA VERAPAZ;Chisec;Sachichaj
ALTA VERAPAZ;Chisec;Samaria Chisec Ruta A Tierra Blanca
ALTA VERAPAZ;Chisec;Samococh Ruta Coban A Peten
ALTA VERAPAZ;Chisec;Santa Lucia Lachua
ALTA VERAPAZ;Chisec;Sechaj
ALTA VERAPAZ;Chisec;Secocpur
ALTA VERAPAZ;Chisec;Semococh
ALTA VERAPAZ;Chisec;Semuy
ALTA VERAPAZ;Chisec;Sidicte
ALTA VERAPAZ;Chisec;Trece Aguas
